	x	y
WMC1137882	346.005396514579	23.5025802973981
WMC1137883	277.473213383191	164.389029210908
WMC1137884	290.144459816682	64.3061867177304
WMC1137885	267.036836244868	178.577238307855
WMC1137886	364.89215110262	60.0127216840158
WMC1137887	366.323388978346	37.2627357070737
WMC1137888	309.90484595055	54.6669292446116
WMC1137889	404.077324920333	477.544034119172
WMC1137890	381.771019855337	81.2378192932908
WMC1137892	320.122961026204	120.041053847483
WMC1137895	411.317904986395	409.176513587351
WMC1137897	401.200064126199	439.047724374186
WMC1137898	366.417125850811	51.4838307649456
WMC1137899	382.23618378317	380.140205800555
WMC1137900	380.775593874304	391.115357361971
WMC1137902	220.709187810535	209.080247182985
WMC1137903	371.480827702319	48.6204123010423
WMC1137904	100.582006745682	539.676938359612
WMC1137905	428.802142151197	444.932756353412
WMC1137906	263.469464900765	191.283865215621
WMC1137907	413.137332528478	426.997087293002
WMC1137908	350.974989524473	51.9299363233372
WMC1137909	417.025540803246	493.395752043506
WMC1137911	355.085186605599	57.4953142768721
WMC1137912	169.640302776047	177.806971976683
WMC1137913	372.087695536488	35.4171620306361
WMC1137914	367.034591212236	19.7947143049376
WMC1137915	335.438944089584	98.73317872581
WMC1137916	338.625914588952	80.3977946200076
WMC1137917	271.382682415401	112.554073651464
WMC1137919	268.001561781805	103.598374767226
WMC1137920	364.153552127576	56.9162673783213
WMC1137921	355.911300395691	452.474239607223
WMC1137922	334.073767528172	455.803363449398
WMC1137923	332.296674109498	489.080232115732
WMC1137924	388.573063573799	390.47137442251
WMC1137925	341.455561919318	455.652597858322
WMC1137927	347.853032515514	54.558676014199
WMC1137928	327.862779500594	473.895767181364
WMC1137929	119.308198465981	553.882770032181
WMC1137930	417.61406083523	448.530224443197
WMC1137931	343.554670828806	47.8880010838162
WMC1137932	368.378147811431	400.946013525457
WMC1137933	255.70501996782	264.741849286632
WMC1137934	351.296999906289	35.6671092972622
WMC1137935	351.687902950428	46.6649810066463
WMC1137936	374.45690931022	488.8386771862
WMC1137937	353.374797069845	52.533077675495
WMC1137938	89.7570161125394	522.893753886709
WMC1137939	333.447184397946	62.1511049150125
WMC1137940	373.032050364936	62.634164487558
WMC1137942	123.992539816218	509.083853792497
WMC1137943	372.583483679353	393.611270082721
WMC1137944	331.192056248677	461.750459607422
WMC1137945	383.101747322555	413.384438672283
WMC1137947	292.770078181283	96.246402997702
WMC1137948	404.046660698265	389.980479002595
WMC1137949	366.472351081561	54.8420337161183
WMC1137951	375.219285669034	369.101295860322
WMC1137952	62.475019855894	145.656065385051
WMC1137962	239.326688224411	178.42080687184
WMC1137963	233.456328058251	218.410303891383
WMC1137967	339.867768882411	60.2830251556888
WMC1137975	356.28431176704	34.3283489013209
WMC1137977	344.486163253441	28.2895719577548
WMC1137988	110.772282106921	528.797890714936
WMC1137991	264.820888281004	187.144304823048
WMC1137992	308.420500713594	99.4269779454699
WMC1137999	342.080422477875	43.4800189493571
WMC1138000	406.550122336683	433.883122173571
WMC1138001	357.044728853804	64.5795624354516
